airport,city,country,iata
"Shah Amanat International Airport",Chittagong,Bangladesh,CGP
"Changchun Longjia International Airport",Changchun,China,CGQ
"Campo Grande International Airport","Campo Grande",Brazil,CGR
"Laguindingan Airport","Cagayan de Oro",Philippines,CGY
"Chattanooga Metropolitan Airport",Chattanooga,"United States",CHA
"Christchurch International Airport",Christchurch,"New Zealand",CHC
"Charlottesville Albemarle Airport",Charlottesville,"United States",CHO
"Chania International Airport",Chania,Greece,CHQ
"Charleston International Airport",Charleston,"United States",CHS
"The Eastern Iowa Airport","Cedar Rapids","United States",CID
"Shymkent International Airport",Shymkent,Kazakhstan,CIT
"Coimbatore International Airport",Coimbatore,India,CJB
"El Loa Airport",Calama,Chile,CJC
"Cheongju International Airport",Cheongju,"South Korea",CJJ
"Abraham Gonzalez International Airport","Ciudad Juarez",Mexico,CJS
"Jeju International Airport",Jeju,"South Korea",CJU
"North Central West Virginia Airport",Clarksburg,"United States",CKB
"Chongqing Jiangbei International Airport",Chongqing,China,CKG
"Conakry International Airport",Conakry,Guinea,CKY
"McClellan-Palomar Airport",Carlsbad,"United States",CLD
"Cleveland Hopkins International Airport",Cleveland,"United States",CLE
"Cluj-Napoca International Airport",Cluj-Napoca,Romania,CLJ
"Easterwood Airport","College Station","United States",CLL
"Alfonso Bonilla Aragon International Airport",Cali,Colombia,CLO
"Licenciado Miguel de la Madrid Airport",Colima,Mexico,CLQ
"Charlotte Douglas International Airport",Charlotte,"United States",CLT
"Bandaranaike International Airport",Colombo,"Sri Lanka",CMB
"Ciudad del Carmen International Airport","Ciudad del Carmen",Mexico,CME
"John Glenn Columbus International Airport",Columbus,"United States",CMH
"Mohammed V International Airport",Casablanca,Morocco,CMN
"Houghton County Memorial Airport",Hancock,"United States",CMX
"Tancredo Neves International Airport","Belo Horizonte",Brazil,CNF
"Cairns Airport",Cairns,Australia,CNS
"Chiang Mai International Airport","Chiang Mai",Thailand,CNX
"Canyonlands Regional Airport",Moab,"United States",CNY
"Yellowstone Regional Airport",Cody,"United States",COD
"Cochin International Airport",Kochi,India,COK
"Cadjehoun Airport",Cotonou,Benin,COO
"Ingeniero Aeronautico Ambrosio L.V. Taravella International Airport",Cordoba,Argentina,COR
"Colorado Springs Airport","Colorado Springs","United States",COS
"Columbia Regional Airport",Columbia,"United States",COU
"Copenhagen Airport",Copenhagen,Denmark,CPH
"Casper-Natrona County International Airport",Casper,"United States",CPR
"Cape Town International Airport","Cape Town","South Africa",CPT
"Craiova International Airport",Craiova,Romania,CRA
"General Enrique Mosconi International Airport","Comodoro Rivadavia",Argentina,CRD
"Clark International Airport","Angeles City",Philippines,CRK
"Brussels South Charleroi Airport",Charleroi,Belgium,CRL
"Corpus Christi International Airport","Corpus Christi","United States",CRP
"Yeager Airport",Charleston,"United States",CRW
"Columbus Metropolitan Airport",Columbus,"United States",CSG
"Changsha Huanghua International Airport",Changsha,China,CSX
"Catania Fontanarossa Airport",Catania,Italy,CTA
"Rafael Nunez International Airport",Cartagena,Colombia,CTG
"Chetumal International Airport",Chetumal,Mexico,CTM
"New Chitose Airport",Sapporo,Japan,CTS
"Chengdu Shuangliu International Airport",Chengdu,China,CTU
"Camilo Daza International Airport",Cucuta,Colombia,CUC
"Mariscal Lamar International Airport",Cuenca,Ecuador,CUE
"Cuneo Levaldigi Airport",Cuneo,Italy,CUF
"Bachigualato Federal International Airport",Culiacan,Mexico,CUL
"Cancun International Airport",Cancun,Mexico,CUN
"Curacao International Airport",Willemstad,Curacao,CUR
"General Roberto Fierro Villalobos International Airport",Chihuahua,Mexico,CUU
"Alejandro Velasco Astete International Airport",Cusco,Peru,CUZ
"Cincinnati/Northern Kentucky International Airport",Cincinnati,"United States",CVG
"Central Wisconsin Airport",Mosinee,"United States",CWA
"Afonso Pena International Airport",Curitiba,Brazil,CWB
"Cardiff Airport",Cardiff,"United Kingdom",CWL
"Cassidy International Airport","Christmas Island",Kiribati,CXI
"Cam Ranh International Airport","Nha Trang",Vietnam,CXR
"Mohamed Boudiaf International Airport",Constantine,Algeria,CZL
"Cozumel International Airport",Cozumel,Mexico,CZM
"Daytona Beach International Airport","Daytona Beach","United States",DAB
"Hazrat Shahjalal International Airport",Dhaka,Bangladesh,DAC
"Da Nang International Airport","Da Nang",Vietnam,DAD
"Dallas Love Field",Dallas,"United States",DAL
"Julius Nyerere International Airport","Dar es Salaam",Tanzania,DAR
"Dayton International Airport",Dayton,"United States",DAY
"Dubbo City Regional Airport",Dubbo,Australia,DBO
"Dubuque Regional Airport",Dubuque,"United States",DBQ
"Dubrovnik Airport",Dubrovnik,Croatia,DBV
"Ronald Reagan Washington National Airport",Washington,"United States",DCA
"Debrecen International Airport",Debrecen,Hungary,DEB
"Jolly Grant Airport",Dehradun,India,DED
"Indira Gandhi International Airport","New Delhi",India,DEL
"Denver International Airport",Denver,"United States",DEN
"Dallas/Fort Worth International Airport","Dallas/Fort Worth","United States",DFW
"Guadalupe Victoria International Airport",Durango,Mexico,DGO
"Dothan Regional Airport",Dothan,"United States",DHN
"Dibrugarh Airport",Dibrugarh,India,DIB
"Dickinson Theodore Roosevelt Regional Airport",Dickinson,"United States",DIK
"Presidente Nicolau Lobato International Airport",Dili,Timor-Leste,DIL
"Dire Dawa Airport","Dire Dawa",Ethiopia,DIR
"Djerba-Zarzis International Airport",Djerba,Tunisia,DJE
"Sentani International Airport",Jayapura,Indonesia,DJJ
"Leopold Sedar Senghor International Airport",Dakar,Senegal,DKR
"Douala International Airport",Douala,Cameroon,DLA
"Dalian Zhoushuizi International Airport",Dalian,China,DLC
"Dillingham Airport",Dillingham,"United States",DLG
"Duluth International Airport",Duluth,"United States",DLH
"Lien Khuong Airport","Da Lat",Vietnam,DLI
"Dalaman Airport",Dalaman,Turkey,DLM
"Domodedovo International Airport",Moscow,Russia,DME
"Don Mueang International Airport",Bangkok,Thailand,DMK
"King Fahd International Airport",Dammam,"Saudi Arabia",DMM
"Hamad International Airport",Doha,Qatar,DOH
"Douglas-Charles Airport",Marigot,Dominica,DOM
"Ngurah Rai International Airport",Bali,Indonesia,DPS
"Durango-La Plata County Airport",Durango,"United States",DRO
"Dresden Airport",Dresden,Germany,DRS
"Darwin International Airport",Darwin,Australia,DRW
"Des Moines International Airport","Des Moines","United States",DSM
"Blaise Diagne International Airport",Dakar,Senegal,DSS
"Dortmund Airport",Dortmund,Germany,DTM
"Detroit Metropolitan Wayne County Airport",Detroit,"United States",DTW
"Dublin Airport",Dublin,Ireland,DUB
"Dunedin Airport",Dunedin,"New Zealand",DUD
"King Shaka International Airport",Durban,"South Africa",DUR
"Dusseldorf Airport",Dusseldorf,Germany,DUS
"Francisco Bangoy International Airport",Davao,Philippines,DVO
"Al Maktoum International Airport",Dubai,"United Arab Emirates",DWC
"Dubai International Airport",Dubai,"United Arab Emirates",DXB
"Dushanbe International Airport",Dushanbe,Tajikistan,DYU
"Pangborn Memorial Airport",Wenatchee,"United States",EAT
"Entebbe International Airport",Entebbe,Uganda,EBB
"Erbil International Airport",Erbil,Iraq,EBL
"Ercan International Airport",Nicosia,"Northern Cyprus",ECN
"Northwest Florida Beaches International Airport","Panama City","United States",ECP
"Edinburgh Airport",Edinburgh,"United Kingdom",EDI
"Cephalonia International Airport",Argostoli,Greece,EFL
"Eagle County Regional Airport",Eagle,"United States",EGE
"Eindhoven Airport",Eindhoven,Netherlands,EIN
"Terrance B. Lettsome International Airport","Road Town","British Virgin Islands",EIS
"Elko Regional Airport",Elko,"United States",EKO
"North Eleuthera Airport","North Eleuthera",Bahamas,ELH
"Elmira Corning Regional Airport",Elmira,"United States",ELM
"El Paso International Airport","El Paso","United States",ELP
"Prince Nayef bin Abdulaziz Regional Airport","Al Qassim","Saudi Arabia",ELQ
"East London Airport","East London","South Africa",ELS
"East Midlands Airport",Nottingham,"United Kingdom",EMA
"Emerald Airport",Emerald,Australia,EMD
"Erie International Airport",Erie,"United States",ERI
"Erzurum Airport",Erzurum,Turkey,ERZ
"Esenboga International Airport",Ankara,Turkey,ESB
"Delta County Airport",Escanaba,"United States",ESC
"Essaouira-Mogador Airport",Essaouira,Morocco,ESU
"Eilat Ramon Airport",Eilat,Israel,ETH
"Eugene Airport",Eugene,"United States",EUG
"Harstad/Narvik Airport",Evenes,Norway,EVE
"Zvartnots International Airport",Yerevan,Armenia,EVN
"Evansville Regional Airport",Evansville,"United States",EVV
"Coastal Carolina Regional Airport","New Bern","United States",EWN
"Newark Liberty International Airport",Newark,"United States",EWR
"Exeter Airport",Exeter,"United Kingdom",EXT
"Key West International Airport","Key West","United States",EYW
"Ministro Pistarini International Airport","Buenos Aires",Argentina,EZE
"Vagar Airport",Vagar,"Faroe Islands",FAE
"Fairbanks International Airport",Fairbanks,"United States",FAI
"Faro Airport",Faro,Portugal,FAO
"Hector International Airport",Fargo,"United States",FAR
"Fresno Yosemite International Airport",Fresno,"United States",FAT
"Fayetteville Regional Airport",Fayetteville,"United States",FAY
"Lubumbashi International Airport",Lubumbashi,"Democratic Republic of the Congo",FBM
"Glacier Park International Airport",Kalispell,"United States",FCA
"Leonardo da Vinci-Fiumicino Airport",Rome,Italy,FCO
"Martinique Aime Cesaire International Airport",Fort-de-France,Martinique,FDF
"Fes-Saiss Airport",Fez,Morocco,FEZ
"N'Djili International Airport",Kinshasa,"Democratic Republic of the Congo",FIH
"Flagstaff Pulliam Airport",Flagstaff,"United States",FLG
"Fort Lauderdale-Hollywood International Airport","Fort Lauderdale","United States",FLL
"Hercilio Luz International Airport",Florianopolis,Brazil,FLN
"Florence Regional Airport",Florence,"United States",FLO
"Florence Airport",Florence,Italy,FLR
"Munster Osnabruck International Airport",Munster,Germany,FMO
"Lungi International Airport",Freetown,"Sierra Leone",FNA
"Madeira Airport",Funchal,Portugal,FNC
"Pyongyang Sunan International Airport",Pyongyang,"North Korea",FNJ
"Bishop International Airport",Flint,"United States",FNT
"Fuzhou Changle International Airport",Fuzhou,China,FOC
"Pinto Martins International Airport",Fortaleza,Brazil,FOR
"Grand Bahama International Airport",Freeport,Bahamas,FPO
"Frankfurt Airport",Frankfurt,Germany,FRA
"Manas International Airport",Bishkek,Kyrgyzstan,FRU
"Sioux Falls Regional Airport","Sioux Falls","United States",FSD
"Fort Smith Regional Airport","Fort Smith","United States",FSM
"Shizuoka Airport",Shizuoka,Japan,FSZ
"Comandante Armando Tola International Airport","El Calafate",Argentina,FTE
"Fuerteventura Airport","Puerto del Rosario",Spain,FUE
"Fukuoka Airport",Fukuoka,Japan,FUK
"Funafuti International Airport",Funafuti,Tuvalu,FUN
"Fort Wayne International Airport","Fort Wayne","United States",FWA
"Yamagata Airport",Yamagata,Japan,GAJ
"Addu International Airport","Addu City",Maldives,GAN
"Lokpriya Gopinath Bordoloi International Airport",Guwahati,India,GAU
"Sir Seretse Khama International Airport",Gaborone,Botswana,GBE
"Gillette-Campbell County Airport",Gillette,"United States",GCC
"Guernsey Airport","St. Peter Port",Guernsey,GCI
"Garden City Regional Airport","Garden City","United States",GCK
"Owen Roberts International Airport","George Town","Cayman Islands",GCM
"Guadalajara International Airport",Guadalajara,Mexico,GDL
"Gdansk Lech Walesa Airport",Gdansk,Poland,GDN
"Gondar Airport",Gondar,Ethiopia,GDQ
"Spokane International Airport",Spokane,"United States",GEG
"Cheddi Jagan International Airport",Georgetown,Guyana,GEO
"General Santos International Airport","General Santos",Philippines,GES
"Grand Forks International Airport","Grand Forks","United States",GFK
"East Texas Regional Airport",Longview,"United States",GGG
"Exuma International Airport","George Town",Bahamas,GGT
"Governor's Harbour Airport","Governor's Harbour",Bahamas,GHB
"Rio de Janeiro-Galeao International Airport","Rio de Janeiro",Brazil,GIG
"Gisborne Airport",Gisborne,"New Zealand",GIS
"Jizan Regional Airport",Jizan,"Saudi Arabia",GIZ
"Grand Junction Regional Airport","Grand Junction","United States",GJT
"Glasgow Airport",Glasgow,"United Kingdom",GLA
"Gladstone Airport",Gladstone,Australia,GLT
"Gimpo International Airport",Seoul,"South Korea",GMP
"Maurice Bishop International Airport","St. George's",Grenada,GND
"Gainesville Regional Airport",Gainesville,"United States",GNV
"Genoa Cristoforo Colombo Airport",Genoa,Italy,GOA
"Goa International Airport",Goa,India,GOI
"Nizhny Novgorod Strigino International Airport","Nizhny Novgorod",Russia,GOJ
"Gothenburg Landvetter Airport",Gothenburg,Sweden,GOT
"Seymour Airport","Baltra Island",Ecuador,GPS
"Gulfport-Biloxi International Airport",Gulfport,"United States",GPT
"Green Bay Austin Straubel International Airport","Green Bay","United States",GRB
"Grand Island Central Nebraska Regional Airport","Grand Island","United States",GRI
"George Airport",George,"South Africa",GRJ
"Killeen-Fort Hood Regional Airport",Killeen,"United States",GRK
"Girona-Costa Brava Airport",Girona,Spain,GRO
"Groningen Airport Eelde",Groningen,Netherlands,GRQ
"Gerald R. Ford International Airport","Grand Rapids","United States",GRR
"Sao Paulo-Guarulhos International Airport","Sao Paulo",Brazil,GRU
"Federico Garcia Lorca Granada-Jaen Airport",Granada,Spain,GRX
"Graz Airport",Graz,Austria,GRZ
"Greenville-Spartanburg International Airport",Greenville,"United States",GSP
"Great Falls International Airport","Great Falls","United States",GTF
"Golden Triangle Regional Airport",Columbus,"United States",GTR
"La Aurora International Airport","Guatemala City",Guatemala,GUA
"Antonio B. Won Pat International Airport",Hagatna,Guam,GUM
"Geneva Airport",Geneva,Switzerland,GVA
"Gwadar International Airport",Gwadar,Pakistan,GWD
"Heydar Aliyev International Airport",Baku,Azerbaijan,GYD
"Jose Joaquin de Olmedo International Airport",Guayaquil,Ecuador,GYE
"Santa Genoveva Airport",Goiania,Brazil,GYN
"Gaziantep Oguzeli International Airport",Gaziantep,Turkey,GZT
"Prince Said Ibrahim International Airport",Moroni,Comoros,HAH
"Hannover Airport",Hannover,Germany,HAJ
"Haikou Meilan International Airport",Haikou,China,HAK
"Hamburg Airport",Hamburg,Germany,HAM
"Noi Bai International Airport",Hanoi,Vietnam,HAN
"Ha'il Regional Airport",Ha'il,"Saudi Arabia",HAS
"Haugesund Airport",Haugesund,Norway,HAU
"Jose Marti International Airport",Havana,Cuba,HAV
"Hobart International Airport",Hobart,Australia,HBA
"Borg El Arab International Airport",Alexandria,Egypt,HBE
"Hubli Airport",Hubli,India,HBX
"Yampa Valley Airport",Hayden,"United States",HDN
"Hat Yai International Airport","Hat Yai",Thailand,HDY
"Helsinki Airport",Helsinki,Finland,HEL
"Heraklion International Airport",Heraklion,Greece,HER
"Hohhot Baita International Airport",Hohhot,China,HET
"Hangzhou Xiaoshan International Airport",Hangzhou,China,HGH
"Hagerstown Regional Airport",Hagerstown,"United States",HGR
"Hilton Head Airport","Hilton Head Island","United States",HHH
"Range Regional Airport",Hibbing,"United States",HIB
"Hiroshima Airport",Hiroshima,Japan,HIJ
"Honiara International Airport",Honiara,"Solomon Islands",HIR
"Hakodate Airport",Hakodate,Japan,HKD
"Hong Kong International Airport","Hong Kong","Hong Kong",HKG
"Phuket International Airport",Phuket,Thailand,HKT
"Lanseria International Airport",Johannesburg,"South Africa",HLA
"Helena Regional Airport",Helena,"United States",HLN
"Hamilton Airport",Hamilton,"New Zealand",HLZ
"General Ignacio Pesqueira Garcia International Airport",Hermosillo,Mexico,HMO
"Tokyo Haneda Airport",Tokyo,Japan,HND
"Daniel K. Inouye International Airport",Honolulu,"United States",HNL
